week,snapshot_date,course_id,title,keyword,rank,total_results
2026-W23,2026-06-01,10361929031,Online Advertising im Online Marketing,Online Marketing,2,6435
2026-W23,2026-06-01,10349701750,Online Marketing,Online Marketing,4,6435
2026-W23,2026-06-01,10391163831,Performance Marketing im Online Marketing,Online Marketing,49,6435
2026-W23,2026-06-01,10351717472,Online Marketing mit SEO,Online Marketing,51,6435
2026-W23,2026-06-01,10356998969,Online Marketing Strategie,Online Marketing,52,6435
2026-W23,2026-06-01,10343394728,Online Marketing Manager,Online Marketing,56,6435
2026-W23,2026-06-01,10349997798,KI im Online Marketing,Online Marketing,61,6435
2026-W23,2026-06-01,10387771566,Online Marketing Quereinstieg,Online Marketing,70,6435
2026-W23,2026-06-01,10387771477,Online Marketing Kurs,Online Marketing,73,6435
2026-W23,2026-06-01,10387192889,Einführung in Online Marketing,Online Marketing,78,6435
2026-W23,2026-06-01,10387782778,Online Marketing mit Schwerpunkt Inbound Marketing,Online Marketing,127,6435
2026-W23,2026-06-01,10342368910,Online Marketing Manager Weiterbildung,Online Marketing,129,6435
2026-W23,2026-06-01,10351717213,Online Marketing - CRM und Marketing-Automatisierung,Online Marketing,138,6435
2026-W23,2026-06-01,10351524968,Online Marketing mit Google Ads,Online Marketing,139,6435
2026-W23,2026-06-01,10356999042,Website Marketing und Online Recht,Online Marketing,145,6435
2026-W23,2026-06-01,10384707261,Online Marketing für Einsteiger,Online Marketing,150,6435
2026-W23,2026-06-01,10389165078,Online Marketing mit KI und Datenschutz,Online Marketing,155,6435
2026-W23,2026-06-01,10387777725,Online Marketing - Webshop und SEO,Online Marketing,179,6435
2026-W23,2026-06-01,10356999107,Analyse und Optimierung im Online Marketing,Online Marketing,209,6435
2026-W23,2026-06-01,10387778727,Social Commerce im Online Marketing,Online Marketing,220,6435
2026-W23,2026-06-01,10389168027,Online Marketing Starter Kurs,Online Marketing,230,6435
2026-W23,2026-06-01,10387200385,Digital Leadership im Online Marketing,Online Marketing,243,6435
2026-W23,2026-06-01,10389165328,Online Marketing mit Social Media Werbung,Online Marketing,295,6435
2026-W23,2026-06-01,10391164001,E-Mail-Werbung im Online Marketing,Online Marketing,327,6435
2026-W23,2026-06-01,10377228677,Certified International Online Marketing Specialist,Online Marketing,329,6435
2026-W23,2026-06-01,10391164655,Online Marketing mit AI Weiterbildung,Online Marketing,352,6435
2026-W23,2026-06-01,10387783077,Online Marketing Manager für Fortgeschrittene,Online Marketing,356,6435
2026-W23,2026-06-01,10391165661,Online Marketing und Prompt Engineering,Online Marketing,361,6435
2026-W23,2026-06-01,10380831850,Aufbaukurs Online Marketing / Social Media Marketing,Online Marketing,364,6435
2026-W23,2026-06-01,10389164957,AI-Tools im Online Marketing,Online Marketing,366,6435
2026-W23,2026-06-01,10391164520,E-Commerce Performance im Online Marketing,Online Marketing,380,6435
2026-W23,2026-06-01,10391167677,Wordpress Online Lernen,Online Marketing,382,6435
